comment,abusive,Race,Religion,Gender,Sexual_Orientation,Miscellaneous
"CJ doesn't realize his entire first talking point has been used to justify hatred against people with his skin color for generations. 

Wild.",0,0,0,0,0,0
"Patrick, you are a star!",0,0,0,0,0,0
Where a person comes from has no bearing on whether they’re a criminal. It’s just as likely that a person from here would do something like that. This is a huge red herring argument. Try again.,0,0,0,0,0,0
Dude just because somebody is undocumented does not mean they are guaranteed to just turn into a criminal and you cannot crucify a large group for the crime of one human being. Stop.,0,0,0,0,0,0
Parker looked foolish,1,0,0,0,0,1
If you mass deport violent illegals that is harmful?,0,0,0,0,0,0
Isnt that the Parker dude thay gets shat on by everyone? How is he still even in debates. He just regurgitates talking points.🤦‍♂️,1,0,0,0,0,0
LMAO so he is basically saying that undocumented immigrants should be considered criminal seven before they commit any crimes merely because they are not documented?? undocumented does not mean illegal to begin with and by his rationale anyone who did one thing bad should be deported,0,0,0,0,0,0
They have criminal history the moment they entered illegally 😂,0,0,0,0,0,0
"Ice is not fbi or sth like that. They have a job, either respect that or don't but don't change their thing.",0,0,0,0,0,0
"ICE are the criminals.
End of story.",0,0,0,0,0,0
He just made an extremely valid point. True criminals are being rounded at a less rate. Because ice and our local law enforcement around this country are more focused on brown people who haven't committed a crime or even have been accused of committing a crime. He is absolutely correct.,0,0,0,0,0,0
Why y’all baby so bad ?!!!! 🤣🤣🤣🤣🤣,0,0,0,0,0,0
Never forget that 73-85% of all law enforcement identify as Republicans.,0,0,0,0,0,0
So this guy likes spitting in the face of people entering legally and protecting the illegals?,0,0,0,0,0,0
Those drug dealers are happy it's not them being chased down on the streets.,0,0,0,0,0,0
"No one is against the removal of legit criminals (especially violent), but they're not even going after them",0,0,0,0,0,0
"When you have Stephen Miller asking, ""why aren't we targeting Home Depots?"", you are definitionally, from the top down, not going after the criminals.",0,0,0,0,0,0
Any fact they don't want to admit equals I don't know 😂,0,0,0,0,0,0
He needs to be Gitmotized...,1,0,0,0,0,0
If you watch the original video there’s context. This short dropped using the middle of an argument so it appears this guy is getting fried but in reality this is not the case.,0,0,0,0,0,0
The realisation in the republicans faces,0,0,0,0,0,0
This guy was one of the cooler debaters overall tho. He at least seemed willing to accepting change,0,0,0,0,0,0
Hate is face 😂😂😂😂 ththththth,0,0,0,0,0,0
“Thaftey of americanths”,0,0,0,0,0,0
suffering succotash,0,0,0,0,0,0
Quit calling undocumented immigrants polite name and call them what they are illegal immigrants. 100percent of illegal immigrants are breaking the law or what what we would normally call commiting a crime 100percent of the time they are here. For you to pretend that every American is committing at least one crime at all time is delusional. Stop with the lies.,0,0,0,0,0,0
They can never answer!!,0,0,0,0,0,0
Watching people realize thy are being proven wrong is absolutely delicious,0,0,0,0,0,0
"Say it, don’t spray it",0,0,0,0,0,0
Can’t take a dude seriously when he sounds like he’s talking like Sylvester from Looney Tunes 😂,1,0,0,0,0,0
I was so distracted by his lisp 😂,0,0,0,0,0,0
That kid had a look like someone just told him Santa Claus doesn't exist. He was literally deflated watching his whole argument swirl its way down the toilet.,0,0,0,0,0,0
Why does he look like a Dollar Store Charlie Kirk?,0,0,0,0,0,0
Exactly! Ice are going after non violent people and leaving the violent Americans alone!,0,0,0,0,0,0
"“That might be the case!”… that, in fact, is not case. 
I’m sure most of you know but undocumented migrants equate to 1% of less of all violent crime in the US. 
US citizen makes equate to 98% of all violent crimes",0,0,0,0,0,0
"only 14% of those detained had a criminal record... they are CLEARLY not focused on ""criminals""...",0,0,0,0,0,0
Oh well gee idk i think they need to look at the black people,1,1,0,0,0,0
Neo-Marxist religion is still in control of the bench; they ignore the constitution until somebody impeaches them,0,0,0,0,0,0
Yes it is.,0,0,0,0,0,0
Judge needs to lose his judicial license and go to jail - for obstruction of a presidential order,0,0,0,0,0,0
Fire the Judges!  Start suing them!,0,0,0,0,0,0
You mean communist appointed judge.,0,0,0,0,0,0
Name the Judge or judges.  ???,0,0,0,0,0,0
Get rid of the judge first,0,0,0,0,0,0
These judges need to be reined in.,0,0,0,0,0,0
Fire that judge😮😮😮😊,0,0,0,0,0,0
Why then arent the democrats stepping up and taking the illegals into their homes and saving them?,0,0,0,0,0,0
Remove that judge and bar,0,0,0,0,0,0
Again? It never stopped. 3 years ago 4million illegals came across the southern border. These judges were on board for everything that weakened this country.,0,0,0,0,0,0
No,0,0,0,0,0,0
Corrupt government!!!,0,0,0,0,0,0
Trump didn't get his way ?  Again ?,0,0,0,0,0,0
Need to get the judge out.,0,0,0,0,0,0
Democrats fight against Trump only because it's Trump. They don't care at all for the safety of American citizens.,0,0,0,0,0,0
We need to have a better system to get rid of these judges.,0,0,0,0,0,0
Some people need to discover how laws work. Judges just follow and interpret the law.,0,0,0,0,0,0
It's time to start arresting these liberal judges!,1,0,0,0,0,0
Communist!!!!,0,0,0,0,0,0
"Yes, and the UnAmerican judges need Something",0,0,0,0,0,0
ammo up,0,0,0,0,0,0
Get rid of the judges!!!,0,0,0,0,0,0
"Again, it hasn't stopped and won't until these judges are debarred",0,0,0,0,0,0
President Trump must ignore these judges over stepping their bounds.,0,0,0,0,0,0
This Judge has been paid off - Big Time.,0,0,0,0,0,0
"Not only is this idiot an activist, he belongs in prison for exceeding his authority and for accepting an appointment from a person who couldn't be President IAW the 25th amendment to the Constitution.",1,0,0,0,0,0
I thought the supreme court put a stop to this??? I hope the next time a democrat wins conservative judges use this tactic 😂😂😂😂,0,0,0,0,0,0
We are busting at the seams and our stupid liberal Judges are making it worse.,1,0,0,0,0,1
